Starting Main App on 5003 (Production Mode)...
 * Serving Flask app 'web_app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5003
 * Running on http://10.5.0.2:5003
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [08/Jan/2026 22:42:24] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:42:24] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:42:25] "GET /static/asset_data.json?t=1767908545255 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:25] "GET /static/asset_data.json?t=1767908545459 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:27] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:27] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:29] "GET /static/asset_data.json?t=1767908549027 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:42:29] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:44:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:44:24] "GET /static/asset_data.json?t=1767908664036 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:24] "GET /static/asset_data.json?t=1767908664232 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:27] code 400, message Bad request version ('À\x13À')
